Var1_1,Var1_2
-74,-102
-72,-105
-78,-103
-78,-105
-85,-107
-89,-113
-90,-103
-92,-109
-89,-108
-98,-107
-94,-100
-94,-104
-94,-105
-93,-104
-94,-108
-92,-101
-90,-106
-90,-107
-88,-108
-92,-108
-92,-112
-90,-107
-86,-107
-87,-106
-85,-110
-88,-107
-86,-109
-81,-112
-84,-109
-83,-107
-76,-109
-64,-112
-51,-111
-24,-113
13,-119
61,-116
103,-122
139,-127
163,-134
169,-151
176,-201
172,-278
156,-388
137,-508
123,-596
119,-640
114,-665
115,-680
122,-684
117,-686
110,-687
91,-676
72,-654
66,-627
74,-604
91,-570
98,-546
88,-522
53,-480
13,-435
-25,-381
-49,-323
-62,-277
-69,-235
-75,-201
-88,-166
-96,-137
-101,-107
-100,-81
-103,-58
-101,-47
-102,-43
-99,-34
-101,-37
-102,-34
-100,-32
-102,-28
-101,-26
-98,-28
-100,-21
-102,-23
-100,-17
-102,-21
-103,-18
-104,-14
-107,-13
-106,-11
-105,-10
-107,-3
-106,-3
-109,0
-110,0
-114,3
-115,5
-116,9
-117,13
-117,16
-115,18
-117,21
-117,22
-122,29
-118,34
-122,40
-124,42
-124,50
-126,50
-128,61
-128,64
-126,68
-129,71
-128,74
-134,79
-131,83
-131,91
-126,99
-128,104
-130,105
-128,106
-124,109
-128,115
-131,118
-127,117
-124,123
-124,124
-121,120
-120,123
-118,122
-118,123
-116,122
-115,120
-111,119
-108,114
-107,109
-105,102
-98,95
-97,83
-92,78
-91,66
-88,55
-88,46
-89,34
-86,21
-79,11
-81,2
-82,-8
-77,-18
-78,-32
-80,-34
-79,-44
-83,-52
-84,-61
-84,-67
-79,-71
-81,-71
-83,-79
-82,-78
-83,-74
-88,-80
-89,-81
-86,-76
-83,-82
-86,-82
-85,-82
-89,-85
-89,-82
-92,-83
-92,-81
-93,-78
-92,-77
-89,-79
-91,-80
-89,-80
-90,-79
-86,-79
-91,-79
-88,-78
-89,-76
-88,-78
-84,-76
-85,-81
-85,-81
-84,-80
-86,-85
-86,-79
-89,-78
-84,-81
-83,-84
-82,-84
-82,-84
-84,-86
-82,-90
-80,-86
-81,-86
-82,-86
-83,-92
-83,-89
-77,-86
-78,-92
-75,-92
-73,-89
-78,-92
-74,-94
-76,-89
-77,-90
-77,-89
-75,-90
-71,-90
-65,-90
-58,-87
-59,-93
-54,-94
-53,-87
-46,-86
-41,-81
-37,-76
-31,-73
-26,-74
-22,-72
-26,-73
-32,-70
-53,-70
-56,-70
-60,-73
-61,-72
-64,-78
-61,-86
-66,-92
-66,-95
-65,-95
-70,-96
-76,-104
-78,-102
-77,-103
-81,-106
-80,-105
-86,-107
-89,-107
-93,-104
-92,-105
-95,-102
-93,-100
-95,-101
-90,-102
-87,-102
-88,-102
-89,-105
-94,-108
-97,-104
-96,-100
-95,-104
-91,-102
-87,-102
-82,-102
-84,-103
-91,-106
-92,-109
-99,-104
-98,-106
-93,-103
-85,-101
-76,-102
-55,-104
-33,-104
3,-101
52,-103
103,-108
135,-100
153,-92
160,-104
161,-170
149,-290
132,-418
110,-546
101,-647
95,-683
92,-701
97,-706
102,-713
104,-726
94,-722
79,-713
59,-700
46,-672
54,-636
73,-610
94,-595
91,-569
56,-537
6,-483
-28,-413
-61,-342
-74,-281
-80,-242
-84,-205
-93,-170
-108,-138
-117,-94
-119,-61
-114,-41
-111,-27
-108,-20
-112,-20
-110,-24
-114,-22
-113,-14
-116,-13
-116,-12
-117,-13
-116,-11
-114,-6
-113,-7
-113,-3
-114,-1
-116,1
-124,0
-124,0
-123,4
-123,7
-123,10
-126,10
-127,7
-126,14
-129,17
-131,26
-132,25
-133,34
-138,31
-134,37
-135,40
-137,45
-137,50
-143,53
-142,57
-144,60
-149,72
-147,74
-151,82
-152,85
-152,86
-151,94
-152,103
-156,111
-152,112
-153,118
-153,119
-151,127
-149,132
-143,134
-148,134
-148,139
-149,145
-149,150
-145,149
-143,154
-139,154
-138,149
-137,149
-133,153
-132,144
-128,145
-131,138
-117,135
-115,125
-109,116
-107,107
-104,93
-106,82
-107,71
-105,63
-108,47
-100,39
-96,23
-99,9
-97,-3
-96,-16
-100,-23
-99,-36
-100,-44
-101,-50
-101,-54
-102,-64
-100,-69
-101,-70
-103,-73
-99,-76
-106,-78
-108,-82
-106,-82
-106,-82
-111,-80
-109,-79
-108,-80
-111,-84
-109,-82
-108,-82
-116,-79
-117,-77
-116,-77
-116,-75
-115,-78
-112,-82
-113,-78
-118,-82
-118,-74
-116,-76
-117,-79
-117,-80
-115,-82
-114,-76
-113,-79
-112,-84
-109,-85
-114,-82
-114,-89
-120,-88
-119,-88
-118,-84
-118,-84
-113,-84
