Var1_1,Var1_2
-124,-61
-127,-67
-128,-66
-129,-64
-129,-66
-128,-64
-132,-65
-132,-66
-131,-66
-135,-66
-133,-62
-131,-64
-126,-64
-124,-67
-126,-66
-127,-64
-129,-66
-131,-66
-129,-66
-127,-66
-120,-68
-105,-66
-90,-64
-82,-65
-71,-64
-64,-69
-60,-63
-64,-64
-59,-76
-65,-85
-84,-105
-126,-128
-174,-150
-213,-163
-244,-169
-272,-169
-283,-172
-278,-167
-267,-165
-232,-160
-193,-152
-151,-155
-126,-147
-117,-133
-119,-108
-121,-81
-120,-59
-119,-49
-115,-44
-114,-53
-115,-48
-109,-49
-110,-49
-110,-46
-108,-46
-108,-46
-109,-44
-105,-47
-105,-40
-99,-49
-103,-44
-102,-48
-97,-43
-96,-44
-99,-44
-96,-41
-96,-38
-96,-42
-91,-37
-90,-37
-89,-38
-89,-34
-88,-41
-89,-37
-87,-32
-87,-31
-85,-31
-84,-34
-78,-27
-81,-30
-78,-28
-76,-25
-76,-24
-72,-20
-71,-20
-73,-20
-68,-21
-68,-19
-69,-20
-72,-19
-71,-24
-74,-24
-75,-24
-78,-31
-78,-35
-86,-41
-89,-46
-87,-46
-90,-49
-93,-51
-95,-54
-98,-54
-95,-56
-96,-58
-97,-54
-95,-62
-95,-57
-97,-59
-95,-57
-95,-59
-95,-57
-96,-59
-99,-57
-97,-57
-95,-52
-92,-56
-99,-60
-100,-62
-97,-56
-101,-56
-98,-53
-98,-57
-96,-59
-94,-59
-95,-61
-93,-55
-94,-57
-93,-59
-94,-54
-95,-55
-96,-56
-98,-53
-96,-56
-97,-54
-92,-57
-93,-54
-87,-57
-84,-55
-88,-51
-84,-56
-80,-57
-77,-56
-70,-53
-64,-53
-56,-54
-49,-57
-50,-53
-52,-52
-49,-49
-55,-49
-63,-52
-65,-51
-71,-53
-78,-54
-79,-53
-79,-52
-85,-52
-91,-52
-96,-52
-96,-52
-101,-48
-101,-51
-96,-53
-97,-51
-98,-52
-100,-52
-100,-52
-98,-53
-98,-52
-102,-55
-103,-52
-101,-53
-99,-51
-99,-55
-95,-52
-93,-53
-88,-47
-78,-49
-69,-50
-51,-53
-38,-51
-31,-53
-29,-54
-30,-56
-25,-62
-32,-80
-59,-95
-110,-118
-163,-140
-201,-159
-232,-161
-247,-158
-245,-156
-241,-156
-232,-154
-206,-145
-168,-135
-134,-135
-115,-126
-101,-114
-104,-92
-102,-66
-101,-47
-99,-36
-98,-33
-95,-36
-95,-33
-97,-32
-96,-33
-94,-33
-96,-31
-94,-32
-94,-38
-90,-38
-90,-36
-92,-35
-92,-34
-90,-31
-92,-33
-87,-38
-84,-34
-83,-36
-84,-35
-86,-34
-83,-30
-81,-27
-82,-28
-82,-31
-79,-27
-76,-27
-73,-25
-68,-28
-68,-27
-66,-23
-66,-23
-67,-21
-64,-20
-64,-16
-60,-15
-62,-19
-61,-14
-53,-16
-54,-13
-51,-14
-54,-10
-54,-15
-55,-14
-51,-16
-54,-20
-54,-22
-59,-21
-59,-25
-67,-28
-66,-34
-69,-37
-70,-38
-71,-40
-72,-42
-72,-44
-76,-44
-76,-45
-73,-49
-78,-50
-77,-49
-81,-51
-80,-46
-78,-46
-81,-47
-79,-49
-75,-46
-76,-51
-73,-51
-79,-49
-80,-52
-81,-55
-81,-53
-80,-53
-77,-49
-74,-53
-72,-50
-74,-49
-78,-48
-75,-53
-78,-52
-77,-53
-78,-51
-75,-53
-72,-51
-70,-54
-70,-52
-69,-50
-67,-53
-68,-50
-64,-51
-64,-52
-61,-53
-52,-50
-40,-48
-38,-50
-34,-48
-32,-49
-32,-46
-35,-44
-38,-48
-43,-47
-49,-49
-51,-52
-50,-50
-59,-52
-67,-50
-67,-52
-74,-57
-74,-56
-77,-51
-79,-55
-77,-57
-77,-51
-78,-55
-78,-55
-76,-56
-79,-55
-78,-56
-78,-55
-77,-55
-79,-57
-78,-57
-76,-54
-79,-58
-78,-56
-78,-57
-78,-59
-70,-56
-56,-58
-42,-54
-30,-59
-21,-58
-13,-56
-12,-53
-16,-58
-17,-67
-24,-78
-60,-99
-110,-124
-146,-142
-183,-148
-212,-151
-230,-154
-234,-148
-225,-146
-201,-144
-168,-141
-128,-141
-98,-138
-79,-131
-77,-115
-73,-86
-76,-61
-74,-53
-74,-44
-74,-43
-71,-47
-70,-45
-71,-46
-71,-45
-71,-45
-70,-41
-71,-40
-68,-44
-68,-47
-67,-44
-64,-44
-62,-43
-61,-39
-62,-40
-59,-43
-56,-41
-61,-37
-60,-38
-58,-37
-53,-38
-52,-37
-52,-34
-51,-36
-54,-35
-48,-35
-48,-30
-49,-31
-50,-30
