Var1_1,Var1_2
-61,-33
-53,-29
-49,-31
-47,-31
-47,-27
-31,-23
-79,-21
-161,-1
-117,45
229,87
543,19
647,-149
377,-253
55,-189
-51,-95
-83,-25
-89,-13
-79,-15
-79,-15
-83,-21
-77,-19
-67,-15
-71,-15
-79,-17
-71,-13
-61,-11
-65,-11
-77,-15
-79,-17
-65,-17
-63,-15
-61,-17
-57,-19
-53,-19
-55,-23
-55,-19
-51,-23
-47,-25
-47,-23
-39,-21
-29,-21
-29,-17
-31,-15
-23,-9
-11,1
-7,9
-15,11
-25,13
-21,13
-21,13
-25,13
-19,13
-9,17
-13,19
-17,15
-11,13
-5,13
-3,15
-13,15
-19,11
-15,11
-3,19
-7,13
-11,11
-3,13
1,13
-11,9
-21,9
3,19
17,41
19,45
49,53
61,59
49,35
37,25
27,15
11,9
-11,5
-37,-9
-53,-15
-53,-15
-49,-9
-45,-15
-39,-13
-65,-11
-157,7
-115,57
189,73
539,-27
669,-219
459,-267
121,-181
-29,-59
-93,-3
-99,-5
-101,-13
-93,-11
-87,-9
-81,-11
-81,-13
-85,-11
-89,-5
-89,-5
-85,-7
-85,-5
-81,-5
-77,-9
-63,-5
-55,-5
-59,-3
-57,-7
-51,-9
-49,-7
-53,-5
-57,-7
-55,-13
-57,-7
-53,-7
-45,-7
-33,3
-19,7
-17,11
-13,9
-15,9
-17,5
-25,9
-31,5
-31,1
-31,-3
-31,-1
-29,-1
-29,-3
-25,-1
-21,1
-17,-1
-19,-5
-11,1
-11,3
-13,-1
-17,-1
-19,-1
-19,-1
-11,-3
-13,-1
-19,1
-3,13
-1,31
-1,35
25,37
49,49
47,21
31,15
19,5
5,-1
-23,-7
-47,-23
-41,-29
-41,-25
-39,-27
-47,-29
-43,-31
-31,-23
-137,-11
-167,19
29,77
451,31
633,-137
565,-245
177,-211
-13,-93
-75,-23
-83,-15
-83,-19
-81,-19
-77,-21
-77,-23
-77,-17
-71,-19
-67,-17
-67,-19
-71,-19
-73,-17
-71,-17
-67,-21
-61,-19
-65,-19
-65,-21
-61,-23
-55,-23
-53,-21
-53,-23
-51,-25
-45,-27
-43,-23
-43,-21
-37,-19
-31,-17
-19,-7
-3,-7
-3,-3
-15,1
-15,5
-23,-1
-25,-5
-21,-7
-19,-9
-11,-5
-13,-11
-9,-11
-15,-13
-19,-11
-11,-13
-3,-13
-5,-9
-5,-15
-3,-13
-3,-11
-11,-13
-11,-11
-5,-15
-11,-11
-23,-13
-3,-9
11,7
7,19
25,25
45,35
37,15
31,5
19,-7
1,-11
-29,-19
-39,-29
-35,-33
-37,-33
-45,-35
-45,-31
-43,-31
-27,-33
-119,-21
-171,13
43,71
467,33
639,-129
581,-255
209,-219
3,-117
-63,-41
-77,-21
-71,-25
-71,-23
-65,-25
-63,-23
-69,-21
-63,-23
-55,-19
-59,-15
-63,-21
-51,-29
-57,-17
-49,-19
-37,-23
-51,-27
-57,-25
-49,-25
-45,-21
-47,-23
-47,-31
-47,-29
-33,-29
-37,-27
-43,-29
-27,-21
-15,-17
-5,-19
-21,-11
-9,-3
-7,1
-11,-1
9,1
3,-1
-5,3
-13,-7
-9,-1
-11,-1
-5,-5
-3,-5
5,-7
9,-3
15,-7
15,-7
17,-9
9,-5
15,-3
3,-7
5,-11
5,-7
9,-7
1,-9
3,-3
29,13
37,29
25,37
49,35
61,25
55,17
29,9
17,-1
-9,-9
-31,-15
-39,-31
-35,-35
-37,-31
-31,-31
-17,-29
-27,-31
-79,-23
-165,15
-97,69
265,35
581,-107
673,-285
557,-307
185,-201
3,-75
-61,-13
-65,-7
-59,-13
-61,-21
-69,-15
-73,-13
-79,-13
-69,-13
-51,-11
-51,-15
-67,-15
-61,-11
-53,-11
-55,-9
-61,-9
-57,-17
-57,-15
-57,-7
-49,-15
-43,-15
-37,-9
-33,-13
-35,-15
-53,-13
-59,-11
-47,-7
-39,-3
-23,-3
-7,9
1,5
-5,5
-17,-1
-21,-5
-27,-1
-19,-7
-7,-1
-11,-3
-19,-9
-13,-5
-3,-5
1,-3
1,-7
3,-7
-3,-7
-1,-5
-3,-7
7,-9
13,-5
7,-7
-11,-11
-5,-11
3,-11
5,-5
27,11
35,21
41,25
59,31
71,29
59,7
49,-1
45,-1
29,-11
-23,-27
-35,-37
-31,-35
-25,-37
-21,-33
-17,-29
-5,-27
-67,-21
-161,11
-67,77
307,53
571,-97
647,-259
379,-251
97,-145
-17,-45
-47,-11
-67,-13
-67,-17
-53,-17
-45,-19
-45,-15
-49,-11
-51,-9
-51,-11
-57,-11
-49,-9
-51,-15
-53,-25
-55,-23
-51,-19
-49,-13
-55,-15
-55,-17
-55,-15
-55,-11
-55,-25
-51,-27
-57,-23
-61,-23
-65,-21
-59,-21
-43,-11
-27,-5
-27,-3
-33,-5
-29,-5
-33,-3
-37,-5
-37,-9
-31,-7
-23,-5
-29,-13
-31,-7
-27,-11
-25,-9
-19,3
-9,-3
-3,-7
-3,-5
1,-9
5,-7
9,-3
13,-11
9,-11
5,-5
3,-9
1,-13
-19,-13
-9,-13
19,11
25,13
31,17
59,31
61,17
55,3
47,1
31,-1
5,-17
-23,-33
-35,-41
-37,-39
-31,-21
-23,-43
-31,-43
