Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12
1161,457,-93,-850,467,179,-1052,-1020,-1045,-1246,506,1972
1150,452,-87,-842,459,180,-1056,-1016,-1037,-1240,508,1973
1152,458,-83,-846,458,185,-1057,-1007,-1025,-1229,512,1973
1176,462,-103,-860,480,177,-1062,-1003,-1017,-1224,509,1968
1167,459,-97,-854,472,178,-1063,-997,-1007,-1213,521,1979
1155,466,-78,-852,457,191,-1058,-982,-990,-1197,540,1996
1164,473,-80,-860,462,194,-1066,-980,-986,-1191,543,1998
1189,491,-87,-881,478,199,-1072,-975,-978,-1181,547,2003
1184,500,-73,-883,469,211,-1069,-963,-968,-1167,552,2009
1188,503,-74,-887,471,212,-1073,-962,-966,-1164,545,1999
1196,497,-88,-888,482,202,-1083,-970,-975,-1170,527,1980
1205,498,-96,-893,491,198,-1082,-965,-973,-1165,523,1977
1209,505,-93,-898,491,203,-1083,-964,-974,-1159,529,1989
1196,493,-92,-886,484,198,-1084,-970,-987,-1168,505,1973
1201,489,-101,-886,491,191,-1093,-984,-1007,-1182,490,1963
1200,490,-99,-886,490,193,-1093,-993,-1021,-1190,501,1970
1190,488,-91,-880,481,196,-1089,-1003,-1037,-1199,510,1977
1160,478,-71,-860,456,201,-1084,-1011,-1053,-1209,525,1995
1146,474,-61,-851,444,204,-1081,-1020,-1067,-1218,540,2013
1143,458,-74,-842,449,189,-1078,-1035,-1085,-1235,537,2009
1149,462,-76,-847,453,190,-1081,-1050,-1100,-1251,527,2001
1149,463,-75,-847,452,191,-1082,-1062,-1114,-1265,511,1991
1148,465,-72,-848,450,194,-1081,-1071,-1123,-1272,500,1984
1142,458,-73,-841,448,190,-1076,-1077,-1130,-1278,491,1977
1131,442,-78,-828,445,179,-1073,-1082,-1138,-1285,476,1965
1132,437,-84,-826,448,174,-1073,-1084,-1141,-1287,467,1959
1129,425,-93,-818,451,163,-1072,-1088,-1143,-1289,457,1951
1130,424,-95,-818,453,162,-1073,-1091,-1144,-1289,459,1954
1134,424,-99,-820,457,160,-1074,-1094,-1142,-1289,457,1951
1138,421,-106,-821,462,155,-1077,-1097,-1143,-1290,444,1938
1145,417,-117,-822,471,147,-1080,-1099,-1144,-1291,432,1932
1138,407,-120,-814,469,141,-1079,-1097,-1143,-1287,437,1936
1131,399,-121,-806,466,136,-1078,-1097,-1142,-1286,448,1943
1140,403,-126,-813,473,136,-1081,-1099,-1141,-1286,457,1953
1132,402,-119,-808,466,139,-1079,-1098,-1141,-1288,454,1949
1114,397,-106,-797,450,143,-1071,-1090,-1134,-1284,461,1957
1104,389,-104,-788,444,140,-1066,-1084,-1129,-1282,462,1956
1122,381,-130,-793,466,123,-1071,-1089,-1133,-1290,450,1943
1124,374,-139,-790,472,115,-1071,-1090,-1132,-1292,453,1945
1118,358,-149,-779,474,102,-1057,-1074,-1116,-1278,470,1961
1124,300,-213,-753,509,41,-1042,-1058,-1101,-1263,486,1975
1127,241,-275,-725,541,-20,-1028,-1045,-1089,-1252,496,1985
1123,205,-307,-705,555,-54,-1015,-1034,-1078,-1244,504,1992
1117,182,-324,-691,561,-74,-1005,-1021,-1070,-1234,513,2001
1108,176,-321,-683,555,-75,-1006,-1021,-1074,-1238,508,1995
1108,180,-317,-685,553,-71,-1008,-1023,-1077,-1246,503,1987
1118,195,-312,-698,555,-61,-1014,-1029,-1084,-1254,500,1982
1117,202,-304,-701,551,-54,-1019,-1034,-1090,-1261,497,1975
1106,210,-285,-699,536,-40,-1020,-1037,-1090,-1262,497,1974
1103,212,-280,-699,532,-37,-1018,-1034,-1085,-1261,497,1976
1095,216,-268,-697,522,-29,-1012,-1022,-1073,-1255,511,1990
1102,220,-271,-702,527,-28,-1017,-1027,-1077,-1259,517,1993
1112,222,-279,-708,536,-31,-1027,-1039,-1085,-1270,506,1982
1115,236,-268,-717,532,-19,-1033,-1046,-1093,-1278,490,1967
1115,245,-259,-721,527,-10,-1037,-1051,-1099,-1284,483,1958
1124,260,-253,-733,529,1,-1046,-1058,-1099,-1291,482,1952
1143,301,-231,-763,527,32,-1061,-1071,-1112,-1301,475,1945
1117,329,-177,-764,487,73,-1066,-1078,-1127,-1307,471,1945
