Var1_1,Var1_2
31,5
37,1
39,1
43,-3
39,-11
35,-13
29,-19
21,-21
11,-27
-1,-31
-9,-33
-17,-33
-19,-33
-19,-37
-27,-37
-29,-35
-27,-39
-31,-37
-27,-33
-23,-37
-27,-35
-29,-35
-23,-33
-21,-33
-25,-35
-25,-33
-23,-31
-19,-29
-21,-31
-13,-33
-15,-33
-19,-33
-15,-33
-19,-33
-15,-29
-15,-21
-11,-17
1,-19
-7,-15
9,-9
19,-19
17,-31
13,-33
9,-31
-1,-33
-7,-43
-21,-55
-37,-51
-35,-53
-43,-53
-43,-53
-45,-53
-47,-51
-43,-51
-39,-49
-41,-55
-81,-21
-83,57
23,139
207,123
405,-9
439,-107
163,-177
-155,-139
-145,-43
-57,-19
-31,-29
-31,-31
-41,-29
-35,-33
-37,-29
-37,-27
-31,-23
-29,-25
-27,-21
-23,-17
-21,-13
-13,-11
-11,-11
-7,-3
5,1
11,1
19,5
23,5
27,9
35,9
39,3
43,3
41,-3
35,-9
33,-15
27,-19
15,-25
5,-33
-7,-33
-9,-33
-15,-35
-17,-35
-19,-39
-19,-39
-25,-37
-23,-39
-25,-37
-23,-35
-23,-33
-19,-31
-17,-37
-23,-35
-23,-33
-19,-37
-23,-33
-21,-31
-17,-31
-23,-33
-21,-35
-21,-33
-21,-33
-13,-33
-19,-33
-19,-25
-13,-23
-11,-19
-11,-19
-5,-11
-1,-9
19,-23
17,-29
9,-33
-3,-35
-5,-31
-13,-43
-21,-49
-37,-55
-43,-55
-55,-55
-47,-53
-51,-55
-51,-53
-51,-53
-45,-47
-41,-57
-67,-35
-99,45
-1,141
183,115
383,3
439,-99
169,-185
-145,-137
-137,-39
-61,-19
-39,-27
-45,-29
-47,-29
-47,-25
-41,-23
-41,-23
-35,-21
-37,-21
-35,-15
-27,-11
-29,-9
-21,-7
-17,-3
-13,1
-5,11
5,9
5,15
19,21
23,19
29,15
35,13
33,9
31,9
29,5
29,-1
21,-11
5,-17
-3,-23
-17,-23
-23,-25
-25,-27
-29,-29
-35,-29
-35,-29
-39,-27
-35,-29
-33,-27
-37,-31
-33,-27
-31,-27
-35,-25
-27,-25
-33,-29
-35,-27
-33,-23
-31,-25
-25,-27
-27,-29
-29,-25
-27,-25
-29,-27
-31,-27
-27,-27
-31,-25
-31,-27
-33,-21
-23,-17
-23,-13
-15,-11
-19,-9
-15,-3
5,-7
13,-19
11,-27
-1,-23
-7,-23
-15,-31
-23,-41
-43,-45
-51,-41
-47,-47
-55,-45
-55,-45
-55,-43
-53,-39
-49,-41
-47,-43
-61,-43
-83,11
-43,115
81,131
241,51
341,-71
211,-167
-47,-171
-133,-55
-81,-7
-49,-11
-43,-13
-45,-15
-47,-17
-45,-13
-41,-9
-39,-9
-35,-9
-33,-5
